책 제목,하이라이트 구절
Dracula (AmazonClassics Edition),No man knows till he has suffered from the night how sweet and how dear to his heart and eye the morning can be.
Dracula (AmazonClassics Edition),"Within, stood a tall old man, clean-shaven save for a long white moustache, and clad in black from head to foot, without a single speck of colour about him anywhere."
Dracula (AmazonClassics Edition),"In his speaking of things and people, and especially of battles, he spoke as if he had been present at them all."
Frankenstein (AmazonClassics Edition),"A human being in perfection ought always to preserve a calm and peaceful mind, and never to allow passion or a transitory desire to disturb his tranquillity."
Frankenstein (AmazonClassics Edition),"In other studies you go as far as others have gone before you, and there is nothing more to know; but in a scientific pursuit there is continual food for discovery and wonder."
Frankenstein (AmazonClassics Edition),It was with these feelings that I began the creation of a human being.
Pride and Prejudice (AmazonClassics Edition),"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife."
Pride and Prejudice (AmazonClassics Edition),"She told the story, however, with great spirit among her friends; for she had a lively, playful disposition, which delighted in anything ridiculous."
Pride and Prejudice (AmazonClassics Edition),"Between him and Darcy there was a very steady friendship, in spite of great opposition of character."
Wuthering Heights (AmazonClassics Edition),"My love for Linton is like the foliage in the woods: time will change it, I’m well aware, as winter changes the trees. My love for Heathcliff resembles the eternal rocks beneath: a source of little visible delight, but necessary. Nelly, I am Heathcliff! He’s always, always in my mind: not as a pleasure, any more than I am always a pleasure to myself, but as my own being."
Wuthering Heights (AmazonClassics Edition),I felt interested in a man who seemed more exaggeratedly reserved than myself.
Persuasion (AmazonClassics Edition),"Now they were as strangers; nay, worse than strangers, for they could never become acquainted. It was a perpetual estrangement."
Persuasion (AmazonClassics Edition),"“My idea of good company, Mr. Elliot, is the company of clever, well-informed people, who have a great deal of conversation; that is what I call good company.”"
Persuasion (AmazonClassics Edition),"“But I hate to hear you talking so like a fine gentleman, and as if women were all fine ladies, instead of rational creatures. We none of us expect to be in smooth water all our days.”"
The Count of Monte Cristo (AmazonClassics Edition),"“We are never quits with those who oblige us,” was Dantès’ reply; “for when we do not owe them money, we owe them gratitude.”"
The Count of Monte Cristo (AmazonClassics Edition),"In politics, my dear fellow, you know, as well as I do, there are no men, but ideas—no feelings, but interests; in politics we do not kill a man, we only remove an obstacle, that is all."
The Count of Monte Cristo (AmazonClassics Edition),"The cause was not in Dantès, but in providence, who, while limiting the power of man, has filled him with boundless desires."
Crime and Punishment (AmazonClassics Edition),"There are chance meetings with strangers that interest us from the first moment, before a word is spoken."
