책 제목,책 소개글
Wuthering Heights (AmazonClassics Edition),"Raised together on the Yorkshire moors, Heathcliff and Catherine become lovers and soul mates so utterly inseparable that their destiny seems inevitable. But when Catherine’s desire for social status results in her marriage to Heathcliff’s wealthy rival, Heathcliff is consumed by revenge. And no one in his path will be spared.
Admired for its stark originality and condemned for its fiendish affront to the senses, Wuthering Heights polarized critics. For generations of readers since, its themes of gender inequality, religious hypocrisy, social climbing, and the violent extremes of romantic obsession resonate to this day."
Pride and Prejudice (AmazonClassics Edition),"Love is in the air when five sisters discover that a wealthy and eligible bachelor is suddenly within reach. But it is his friend, the haughty Mr. Darcy, who becomes smitten. Unfortunately for him, the object of his affection is not so easily swayed.
One of the most popular characters in English literature, Elizabeth Bennet is intelligent, witty, well-spoken and ahead of her time. If the terrible rumors about Mr. Darcy are true, he doesn’t stand a chance. Yet not all gossip is to be believed when marriage, money, and reputations are on the line. Will Elizabeth and Mr. Darcy circumvent her haste, his ego, and society’s expectations to find love?
Written more than two centuries ago, Jane Austen’s enduring story of manners, family, and love continues to delight new generations of readers.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
Dracula (AmazonClassics Edition),"Young lawyer Jonathan Harker journeys to Transylvania to meet with the mysterious Count Dracula only to discover that his nobleman client is a vampire who is thirsty for new blood. After imprisoning Harker in his castle, Dracula travels to England to seduce Jonathan’s fiancée, Mina, and the battle against an ineffable evil begins.
Led by philosopher and metaphysician Professor Van Helsing—Dracula’s most indomitable adversary—Harker, Mina, and a band of allies unite, determined to confront and destroy the Count before he can escape.
Bram Stoker ingeniously modernized gothic folklore by moving his vampire from traditional castle ruins to modern England. With Dracula, which has been interpreted and dissected by scholars for generations, Stoker changed the vampire novel forever."
The Picture of Dorian Gray (AmazonClassics Edition),"In the wealthy and vain hedonist Dorian Gray, London painter Basil Hallward has found his muse. Only when the portrait of Dorian begins to age, while the man himself remains untouched by time, do they realize they may have made a deal with the devil.
Oscar Wilde’s only novel takes a witty, philosophical, and harrowing look at our obsession with youth and the price we pay for it."
War and Peace (AmazonClassics Edition),"In early nineteenth-century Russia, the threat of Napoleon’s invasion looms, and the lives of millions are about to be changed forever. This includes Pierre Bezúkhov, illegitimate son of an aristocrat; Andrew Bolkónski, ambitious military scion; and Natásha Rostóva, compassionate daughter of a nobleman. All of them are unprepared for what lies ahead. Alongside their fellow compatriots—a catalog of enduring literary characters—Pierre, Andrew, and Natásha will be irrevocably torn between fate and free will.
Through the bonds of love and family, and all that can break them, Tolstoy examines the effects of war on every strata of society in his masterwork of intimate—and epic—social history."
Frankenstein (AmazonClassics Edition),"Obsessed with the secret of creation, Swiss scientist Dr. Victor Frankenstein cobbles together a body he’s determined to bring to life. And one fateful night, he does. When the creature opens his eyes, the doctor is repulsed: his vision of perfection is, in fact, a hideous monster. Dr. Frankenstein abandons his creation, but the monster won’t be ignored, setting in motion a chain of violence and terror that shadows Victor to his death.
Mary Shelley’s Frankenstein, a gripping story about the ethics of creation and the consequences of trauma, is one of the most influential Gothic novels in British literature. It is as relevant today as it is haunting."
The Count of Monte Cristo (AmazonClassics Edition),"After fourteen years of wrongful imprisonment, merchant sailor Edmond Dantès escapes his grim island fortress. With the promises of youth erased and his betrothed now married to someone else, Dantès lives for one purpose: revenge. Thanks to a benevolent prison confidante who reveals the location of a hidden treasure, Dantès buys his way, unrecognized, into society. Adopting a new identity as the Count of Monte Cristo, he sets out to destroy the rivals who framed him for treason. But the count’s obsessive quest could have irrevocable consequences for the innocent—and for himself.
What unfolds is an epic tale of breathtaking intrigue and righteous retribution from Alexandre Dumas, the nineteenth-century master of high adventure."
The Adventures of Huckleberry Finn (AmazonClassics Edition),"Refusing to be civilized by Southern society or cowed by his drunken father’s lashings, young Huckleberry Finn decides he has only one option left: fake his own death and hop a raft down the Mississippi River. Instead of carrying him far from trouble, though, Huck’s raft delivers him to a place of moral uncertainty.
Mark Twain unwinds Huck’s harrowing journey to manhood with satirical wit, revealing the troubled history of the American South, where slavery held sway long after the Civil War ended. Huck’s relationship with runaway slave Jim forces him to confront his beliefs about friendship and freedom.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
Little Women (AmazonClassics Edition),"As a New England mother struggles to support her family in the wake of her husband’s service in the Civil War, her four daughters struggle, too—caught between childhood dreams and the realities of burgeoning adulthood. For Meg, Jo, Beth, and Amy March, raised in integrity and virtue, negotiating the right path in life means making choices that will either narrow or expand their destinies.
Based on the author’s life, Little Women transcends genre, gender, and class with its examination of personal quests, societal restrictions, family ties, and the end of innocence.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds."
Crime and Punishment (AmazonClassics Edition),"Living in a squalid room in St. Petersburg, the indigent but proud Rodion Raskolnikov believes he is above society. Obsessed with the idea of breaking the law, Raskolnikov resolves to kill an old pawnbroker for her cash.
Although the murder and robbery are bungled, Raskolnikov manages to escape without being seen. And with nothing to prove his guilt and a mendacious confessor in police custody, Raskolnikov seems to have committed the perfect crime. But in Fyodor Dostoyevsky’s world of moral transgressions, with its reason and its consequences, Raskolnikov’s plan has a devastating hitch: the feverish delirium of his own conscience.
AmazonClassics brings you timeless works from the masters of storytelling. Ideal for anyone who wants to read a great work for the first time or rediscover an old favorite, these new editions open the door to literature’s most unforgettable characters and beloved worlds. "
